Key,spanish
questRallyActivate,"[73E9B2][{{0}}][-] Comenzar misión\n[decea3]( {1} )[-]"
itemTooltipFocusedOne,"[73E9B2][{0}][-] Coger {1}"
itemTooltipFocusedSeveral,"[73E9B2][{0}][-] Coger {1} ({2})"
forgeActivate,"[73E9B2][{0}][-] Abrir forja"
useCampfire,"[73E9B2][{0}][-] Usar"
useForge,"[73E9B2][{0}][-] Usar"
useSecureDoor,"[73E9B2][{0}][-] Usar"
useDoor,"[73E9B2][{0}][-] Usar"
useOpen,"[73E9B2][{0}][-] Abrir"
useClose,"[73E9B2][{0}][-] Cerrar"
useWorkstation,"[73E9B2][{0}][-] Usar"
lootAccess,"[73E9B2][{0}][-] Acceder a {1}"
lootEntity,"[73E9B2][{0}][-] Buscar {1}"
lootTooltipEmpty,"[73E9B2][{0}][-] Abrir {1}\n[808080](Vacío)[-]"
lootTooltipNew,"[73E9B2][{0}][-] Buscar {1}\n[73E9B2](Sin tocar)[-]"
lootTooltipTouched,"[73E9B2][{0}][-] Abrir {1}"
lootVehicleEmpty,"[73E9B2][{0}][-] Abrir {1}{2}\n[808080](Vacío)[-]"
lootVehicleNew,"[73E9B2][{0}][-] Abrir {1}{2}\n[73E9B2](Sin tocar)[-]"
lootVehicleTouched,"[73E9B2][{0}][-] Abrir {1}{2}"
lootVehicleSecureJammed,"[73E9B2][{0}][-] Usar {1}{2}\n[808080](Atascado)[-]"
lootVehicleSecureLocked,"[73E9B2][{0}][-] Usar {1}{2}\n[808080](Bloqueado)[-]"
lootVehicleSecureUnlocked,"[73E9B2][{0}][-] Usar {1}{2}\n[808080](Desbloqueado)[-]"
tooltipJammed,"[73E9B2][{0}][-] Usar {1}\n[808080](Atascado)[-]"
tooltipLocked,"[73E9B2][{0}][-] Usar {1}\n[808080](Bloqueado)[-]"
tooltipUnlocked,"[73E9B2][{0}][-] Usar {1}\n[808080](Desbloqueado)[-]"
useBlock,"[73E9B2][{0}][-] Usar {1}"
editLabel,"[73E9B2][{0}][-] Editar etiqueta"
useElevator,"[73E9B2][{0}][-] Usar [808080](Piso {1})[-]"
lootItem,"[73E9B2][{0}][-] Recoger {1}"
tooltipInteract,"[73E9B2][{0}][-] Usar {1}"
vendingMachineActivate,"[73E9B2][{0}][-] Usar {1}"
useSwitchLightOff,"[73E9B2][{0}][-] Apagar"
useSwitchLightOn,"[73E9B2][{0}][-] Encender"
npcTooltipTalk,"[73E9B2][{0}][-] Hablar a {1}"
pickupCrops,"[73E9B2][{{0}}][-] Cosechar {0} {1}"
pickupPrompt,"[73E9B2][{{0}}][-] Recoger {0}"
xuiVendingWithOwner,"Máquina expendedora\n[808080]({0})[-]"
xuiLockAmmo,"Encender"
xuiUnlockAmmo,"Apagar"
activeBlockPrompt,"{0}\n[73E9B2](Activo)[-]"
inactiveBlockPrompt,"{0}\n[808080](Inactivo)[-]"
uiOpenJammed,"[73E9B2][{0}][-] Abrir {1}\n[808080](Atascado)[-]"
uiOpenLocked,"[73E9B2][{0}][-] Abrir {1}\n[808080](Bloqueado)[-]"
uiOpenUnlocked,"[73E9B2][{0}][-] Abrir {1}\n[808080](Desbloqueado)[-]"
blockcommand_aim,"Apuntar"
blockcommand_confirm,"Confirmar ubicación"
blockcommand_do_nothing,"No hace nada"
blockcommand_fuel_add,"Añadir al contenedor"
blockcommand_fuel_take,"Rellenar del contenedor"
blockcommand_repair,"Reparar"
blockcommand_pick1,"Forzar cerradura\n[808080](Ganzúa)[-]"
blockcommand_pick2,"Forzar cerradura\n[808080](Alfiler)[-]"
blockcommand_useC4,"Usar carga programada"
blockcommand_upgrade,"Mejorar"
uiNull,""
uiActionFillFrom,"[73E9B2][{0}][-] Llenar de {1}"
uiActionFillTo,"[73E9B2][{0}][-] Añadir a {1}"
uiActionTake,"[73E9B2][{0}][-] Coger {1}"
uiActionUse,"[73E9B2][{0}][-] Usar {1}"
uiActionUntouched,"\n[73E9B2](Intacto)[-]"
uiActionSkillLevelUp,"Tu habilidad de [decea3]{0}[-] ha mejorado al nivel [decea3]{1}[-]!"
uiAll,"Todo"
uiAllResearch,"Todas las investigaciones"
uiAmmo,"Munición"
uiAmmoAndExplosives,"Munición/Explosiva"
uiAmmunition,"Munición"
uiArmor,"Armadura"
uiAttention,"Atención"
uiBackpack,"Mochila"
uiBasicCrafting,"Fabricar"
uiBiomeName,"Nombre del bioma"
uiBloodMoon,"Luna sangrienta"
uiBlockAndMaterialName,"{1} / {0}"
uiBlockMissing,"Bloque faltante"
uiBlockName,"{0}"
uiBooksSchematics,"Libros y Esquemas"
uiBroadcastStorage,"Difundir almacenamiento para la fabricación"
uiBuffs,"Mejoras"
uiCantPickUpFuelNotEmpty,"¡Las ranuras de combustible de la estación de trabajo no están vacías!"
uiCantPickUpInputNotEmpty,"¡Las ranuras de entrada de la estación de trabajo no están vacías!"
uiCantPickUpOutputNotEmpty,"¡La salida de la estación de trabajo no está vacía!"
uiCantPickUpQueueNotEmpty,"¡La cola de la estación de trabajo no está vacía!"
uiCantPickUpToolsNotEmpty,"¡Las ranuras de herramientas de la estación de trabajo no están vacías!"
uiClothing,"Vestimenta"
uiClothingAndArmor,"Vestimenta y armaduras"
uiClothingArmorMods,"Mods de vestimenta/armadura"
uiColorPickerHex,"Color (Hex)"
uiColorPickerRGB,"Color (RGB)"
uiConfirmPlacement,"[73E9B2][{{0}}][-] Confirmar ubicación"
uiContainer,"Almacenamiento"
uiCopy,"Copiar"
uiCopyIDToClipboard,"Copiar ID al portapapeles"
uiCrafted,"Fabricado"
uiCraftedIn,"Fabricado en "
uiCraftingFuel,"Combustible"
uiCraftingOutput,"Salida"
uiCraftingQueue,"Cola"
uiCraftingQueueAndOutput,"Cola/Salida"
uiCraftingTools,"Herramientas"
uiCraftOutput,"Salida de fabricación"
uiCrouching,"Agachado"
uiDescription,"Descripción"
uiDetails,"Detalles"
uiDifficulty,"Dificultad"
ui_door_prefix," ("
ui_door_suffix,")"
ui_door_bottom,"Puerta inferior"
ui_door_left,"Puerta Izquierda"
ui_door_middle,"Puerta central"
ui_door_right,"Puerta derecha"
ui_door_top,"Puerta superior"
ui_drawer_bottom,"Cajón inferior"
ui_drawer_left,"Cajón izquierdo"
ui_drawer_left_bottom,"Cajón inferior izquierdo"
ui_drawer_left_middle,"Cajón izquierdo central"
ui_drawer_left_top,"Cajón superior izquierdo"
ui_drawer_middle,"Cajón central"
ui_drawer_right,"Cajón derecho"
ui_drawer_right_bottom,"Cajón inferior derecho"
ui_drawer_right_middle,"Cajón derecho central"
ui_drawer_right_top,"Cajón superior derecho"
ui_drawer_top,"Cajón superior"
ui_drawer_top_middle,"Cajón central superior"
uiExplosives,"Explosivos"
uiExplosivesAndMines,"Explosivos y minas"
uiFeatureInProgress,"Característica actualmente eb desarrollo\nPuede que no funcione o funcione parcialmente."
uiFoodAndDrinks,"Comida y bebida"
uiGameContinue,"Continuar partida"
uiGameNew,"Nueva partida"
uiGameSettingsBasic,"Básico"
uiGameSettingsAdvanced,"Avanzado"
uiGameSettingsExpert,"Experto"
uiGameSettingsMultiplayer,"Multijugador"
uiGrowing,"Creciendo "
uiHeaderCrafting,"Elaboración"
uiHeaderCharacter,"Personaje"
uiHeaderMap,"Mapa"
uiHeaderSkills,"Progreso"
uiHeaderQuests,"Misiones"
uiHeaderJournal,"Diario"
uiHeaderPlayers,"Jugadores"
uiHeaderCreative,"Creativo"
uiIngredientHave,", Tiene: "
uiIngredientInclModded,"Incluir modificador"
uiIngredientNeed,"\nNecesita: "
uiIngredientRetrieve,"\nRecuperable: "
uiInspectLockSlot,"Para bloquear un espacio de inventario"
uiInspectStackSingle,"Para soltar un elemento a la vez"
uiInspectStackSplit,"Mantenga presionado y arrastre para tomar la mitad de la pila"
uiInspectStackSwap,"Para soltar o cambiar una pila"
uiInspectStackTake,"Mantenga pulsado y arrastre para tomar una pila"
uiInspectStackView,"Para inspeccionar un artículo, receta o efecto activo"
uiInsufficientStationLevel,"Nivel de estación insuficiente"
uiInteractWithBlock,"Interactuar con {0}"
uiInventory,"Inventario"
uiItemNotFound,"Objeto bloqueado [73E9B2]{0}[-]"
uiItemRequired,"Requiere {0}"
uiLevelShort,"LVL"
uiLockAutoPick,"Auto-Forzado"
uiLockAutoPickChance,"Auto-Pick, probabilidad: [decea3]{0}%[-]"
uiLockVeryEasy,"Muy fácil"
uiLockEasy,"Fácil"
uiLockAverage,"Medio"
uiLockHard,"Difícil"
uiLockVeryHard,"Muy difícil"
uiLockExtremelyHard,"Extremadamente difícil"
uiLockImpossible,"Imposible"
uiLockpickingInsufficient,"Tu nivel de forzado de cerraduras [FF1919]{0}[-] no es suficiente para forzar la cerradura de nivel [decea3]{1}[-]"
uiLockpickingSkillLevel,"Forzado de cerraduras"
uiLockpickingLockLevel,"Cerradura"
uiLockpicksLeft,"Tienes [decea3]{0} {1}[-] restante"
uiLockpicksLeftNone,"No tienes [decea3]{0}[-] en tu inventario."
uiLockpicksTooltipKB,"Use the [73E9B2][{0}][-] or [73E9B2][{1}][-] keys or hold [73E9B2][{2}][-] and drag the [73E9B2][Mouse Cursor][-] across the screen to move the [decea3]{3}[-]. Then [73E9B2][{4}][-] to try to unlock."
uiLockpicksTooltipGP,"Use the [73E9B2][{0}][-] or [73E9B2][{1}][-] keys to move the [decea3]{2}[-]. Then [73E9B2][{3}][-] to try to unlock."
uiMapBedroll,"Guardar punto"
uiMapCursor,"Cursor"
uiMapInfo,"Info"
uiMapPlayer,"Posición"
uiMapWaypoint,"Punto de ruta"
uiMapWaypoints,"Punto de ruta"
uiMapWaypointsPersonal,"Personal"
uiMapWaypointsShared,"Compartido"
uiMaterial,"Material"
uiMax,"Max"
uiMenuSupport,"Donaciones y redes sociales"
uiMiscellaneous,"Otros"
uiMissingIngredients,"Ingredientes faltantes"
uiMissingScrapWires,"No tienes [decea3]cable de chatarra[-] en tu inventario"
uiMissingTool,"Herramientas faltantes"
uiMods,"Mods"
uiMovementSpeed,"Velocidad de movimiento"
uiMovementState,"Estado de movimiento"
uiNearbyStorage,"Almacenamientos cercanos"
uiNoPower,"Sin energía"
uiNoSellPrice,"Sin precio de venta"
uiNoUpgradesForBlock,"Bloque no mejorable"
uiPatchNotes,"Noticias y últimas notas del parche"
uiOr,"o"
uiPerkPoints,"Puntos de habilidad"
uiPinIngredients,"Fijar ingredientes"
uiPlantNeedsMoreLight,"\n[FF6A00]No está creciendo, necesita más luz[-]"
uiPlayerEffects,"Efectos"
uiPlayerPreview,"Vista previa del personaje"
uiPlayerHidePreview,"Ocultar la vista previa del personaje"
uiPlayerStats,"Estadísticas"
uiPlayerStatsCore,"Estadísticas básicas"
uiPlayerStatsMore,"Más info"
uiPlayerStatsLess,"Ocultar info"
uiPlayerStatsAdvanced,"Información avanzada"
uiPowerOutput,"Salida"
uiPowerRemainingFuel,"Combustible restante"
uiPowerUsed,"Usado"
uiPrefabName,"Nombre del Prefab"
uiPricePrefix,"€"
uiPrimaryMaterial,"Material primario"
uiQuality,"Calidad"
uiQuality1,"D E F E C T U O S O"
uiQuality2,"C O M Ú N"
uiQuality3,"P O C O  C O M U N"
uiQuality4,"R A R O"
uiQuality5,"E P I C O"
uiQuality6,"L E G E N D A R I O"
uiQualityPrefix1,"DEFECTUOSO"
uiQualityPrefix2,"COMÚN"
uiQualityPrefix3,"POCO COMÚN"
uiQualityPrefix4,"RARO"
uiQualityPrefix5,"ÉPICO"
uiQualityPrefix6,"LEGENDARIO"
uiQuestsShared,"Compartidas"
uiRadiation,"Radiación"
uiRayHitBlockName,"Nombre del bloque"
uiRayHitTileEntity,"Título de la entrada"
uiRefreshServerList,"Recargar"
uiRepair,"Reparar"
uiRepairable,"Reparable"
uiRepairCost,"Coste de reparación"
uiRepairItem,"Reparar con"
uiRequires,"Requiere"
uiRequiredMaterials,"Materiales requeridos"
uiRequiredTool,"Herramientas requeridas"
uiResistance,"Resistencia"
uiResistances,"Resistencias"
uiRestrictedArea,"Area restringida"
uiRetrievableComponents,"Componentes recuperables"
uiRunning,"Running"
uiScrapped,"Desguazado"
uiScrappedIn,"Desguazado en "
uiScrapMaterial,"Material de desguazado"
uiSearch,"Buscar"
uiServerFilters,"Filtros"
uiServers,"Servidores"
uiServiceInfo,"Info del servicio"
uiSettings,"Ajustes"
uiShowOnMap,"Mostrar en el mapa"
uiSignEdit,"Editar texto"
ui_skill_buy,"Subir de nivel"
ui_skill_cost,"Coste para subir de nivel"
ui_skill_exp,"Exp. de la habilidad"
ui_skill_level,"Nivel actual"
ui_skill_points,"Puntos de habilidad"
uiSkillPoint,"Punto de habilidad"
uiSkillPoints,"Puntos de habilidad"
ui_skill_points_available,"Puntos de habilidad disponibles"
uiSkillPointsName,"Puntos de habilidad"
uiSkillBuy,"Subir de nivel"
uiSkillPointShort,"PT"
uiSkillPointsShort,"PTs"
uiSortName,"Ordenar por nombre (ASC)"
uiSortGroup,"Ordenar por tipo (ASC)"
uiSortPrice,"Ordenar por precio (DESC)"
uiSortWeight,"Ordenar por peso (DESC)"
uiSPCostNext,"Siguiente nivel: "
uiSpeedKMH," km/h"
uiSpeedMPH," mph"
uiStats,"Estadísticas"
uiStorage,"Almacenamiento"
uiStorageCompartment,"Area"
uiStorageCompartments,"Areas"
uiTabPersonal,"Personal"
uiTabShared,"Compartido"
uiTeleportEW,"X (E/W)"
uiTeleportNS,"Z (N/S)"
uiTimeDay,"{0} día"
uiTimeDays,"{0} días"
uiTimeHour,"{0} hora"
uiTimeHours,"{0} horas"
uiTimeMinute,"{0} minuto"
uiTimeMinutes,"{0} minutos"
uiTimeSecond,"{0} segundo"
uiTimeSeconds,"{0} segundos"
uiTimedProcessMining,"\n[decea3]Minando ({1}, {0}%)[-]"
uiTimedProcessGrowing,"\n[decea3]Creciendo ({1}, {0}%)[-]"
uiTimedProcessGathering,"\n[decea3]Recolectando ({1}, {0}%)[-]"
uiToggleSearch,"Alternar búsqueda"
uiTotal,"Total: {0}"
uiTraps,"Traps"
uiTransferAll,"Mover todos los objetos\nfrom backpack to container"
uiTransferAllToBag,"Take all"
uiTransferStackables,"Mover objectos apilables\nde la mochila a contenedor"
uiTransferStackablesToBag,"Coger todos los objetos apilables"
uiType,"Tipo"
uiUpgrade,"Mejorar"
uiUpgradeChance,"Posibilidades de mejora"
uiUpgradeCost,"Coste de mejora"
uiUpgradeFail,"[FF1919]Mejora fallida[-]"
uiUpgradeMax,"No es posible realizar más actualizaciones"
uiUpgradeSuccess,"[73E9B2]Mejora exitosa[-]"
uiUpgradeRemoveMods,"[decea3]No se puede mejorar con mods instalados[-]"
uiUpgradeRequiresRepairs,"[decea3]El objeto debe ser reparado primero[-]"
uiUnderwater,"Bajo el agua"
uiUnlockedBy,"Desbloqueado por"
uiUnknownIngredient,"Ingrediente desconocido"
uiUnlearned,"No aprendido"
uiUnpinPinnedRecipe,"Desfijar receta fijada"
uiValue,"Valor"
uiVehicleCargo,"Límite de carga"
uiVehicleSeats,"Asientos"
uiVehicleSlots,"Ranuras de carga"
uiVehicleConsumption,"Consumo"
uiVehicleFuelEfficiency,"Eficiencia del combustible"
uiVehicles,"Vehículos"
uiVehicleSpeed,"Velocidad"
uiVehicleSpeedTurbo,"Velocidad turbo"
uiVehicleTank,"Tanque de combustible"
uiVersionNewAvailable,"Actualización disponible"
uiWalking,"Caminando"
uiWeaponsMelee,"Melee Weapons"
uiWeaponsMeleeAndTools,"Armas cuerpo a cuerpo"
uiWeaponsRanged,"Armas a distancia"
uiWeight,"Peso"
uiWorkstationNotEmpty,"La mesa de trabajo no está vacía"
uiServerVersionMissmatch,"La versión del cliente Undead Legacy no coincide con la del servidor"
uiServerVersionUnknown,"[ff0000]Desconocido[-]"
statAccuracy,"Precisión"
statAlcohol,"Alcohol"
statAlcoholMax,"Alcohol máximo"
statArmorRating,"Grado de protección"
statAttackSpeed,"Velocidad de ataque"
statAttacksPerMinute,"Velocidad de ataque cuerpo a cuerpo"
statBlockDamage,"Daño a bloque"
statBlocksLight,"Bloqueo de luz"
statCarbs,"Carbs."
statCarbsMax,"Carbs. máximo"
statCondition,"Condición"
statCoreTemp,"Temp. Corporal"
statCraftingTier,"Grado de elaboración"
statCraftingTime,"Tiempo de elaboración"
statCraftingSpeed,"Velocidad de elaboriacón"
statCurrentLife,"Vida actual"
statDamage,"Daño"
statDeaths,"Muertes"
statDismemberChance,"Probabilidad de desmembramiento"
statDurability,"Durabilidad"
statDurabilityMax,"Durabilidad máx."
statDurabilityUse,"Multiplicador de desgaste por durabilidad"
statEfficiency,"Eficiencia"
statTravelled,"Viajado"
statDysenteryChance,"Riesgo de disentería"
statEncumbered,"Sobrecargado"
statEncumbrance,"Sobrecarga"
statEncumbranceBonus,"Límite de transporte adicional"
statExpRate,"Bono de XP"
statExpToNextLevel,"XP hara el siguiente nivel"
statFat,"Grasa"
statFatMax,"Grasa Máx."
statFireRate,"Velocidad de disparo"
statFood,"Comida"
statFoodMax,"Comida Máx."
statFoodRate,"Tasa de consumo de alimentos"
statFuel,"Combustible"
statGas,"Gas"
statHandling,"Manejo"
statHealing,"Sanación"
statHealth,"Salud"
statHealthMax,"Salud Max."
statHealthRegen,"Regeneración de salud"
statItemsCrafted,"Artículos fabricados"
statJumpStrength,"Altura del salto"
statKilledPlayers,"Jugadores asesinados"
statKilledZombies,"Zombis asesinados"
statLoad,"Cargar"
statLockpicking,"Forzado de cerraduras"
statLongestLife,"Vida más larga"
statLootStage,"Etapa de botín"
statMagazineSize,"Revista"
statMobility,"Movilidad"
statModificationSlots,"Ranuras"
statPoisonChance,"Riesgo de intoxicación alimentaria"
statPower,"Poder"
statPowerAttack,"Ataque potenciado"
statPowerEfficiency,"Eficiencia energética"
statProtein,"Proteína"
statProteinMax,"Proteína Max."
statRange,"Rango"
statRecoil,"Retroceso"
statReloadSpeed,"Velocidad de recarga"
statResistBleeding,"Resistencia al sangrado"
statResistCold,"Resistencia al frío"
statResistDiseases,"Resistencia a enfermedades"
statResistFallDamage,"Reducción del daño por caída"
statResistHeat,"Resistecia al calor"
statResistPhysical,"Resistencia física"
statResistRadiation,"Resistencia a radiación"
statResistStun,"Resistencia al aturdimiento"
statResistToxic,"Resistencia a los tóxicos"
statRoundsPerMinute,"Velocidad de ataque a distancia"
statStamina,"Resistencia"
statStaminaMax,"Resistencia Max."
statStaminaRegen,"Regeneración de resistencia"
statStopsBleeding,"Detiene la hemorragia"
statStopsLaceration,"Detiene la laceración"
statStopsBrokenLimbs,"Cura extremidades rotas"
statTreasureRadius,"Radio del tesoro"
statVitamins,"Vitaminas"
statVitaminsMax,"Vitaminas Max."
statWater,"Agua"
statWaterMax,"Agua Max."
statWaterRate,"Tasa de consumo de agua"
statWeight,"Peso"
statWeightMax,"Límite de peso"
statWellness,"Bienestar"
statWellnessMax,"Bienestar Max."
statWellnessRate,"Ratio de bienestar"
tt_belongs_to_other_player,"Esto pertenece a otra persona"
tt_empty_before_pickup,"Debe estar vacío antes de recogerlo."
tt_container_is_full,"Está lleno, no puedes añadir más."
tt_not_enough_substance,"No es suficiente para llenar este objeto."
tt_no_compatible_items,"No tengo nada compatible en la mano para interactuar con él."
ttJunkDroneEmptySomeStorage,"Retire los elementos del almacén de drones de la última fila para sustituir o eliminar esta modificación."
type1hAxes,"Hacha de una mano"
type1hBlades,"Cuchilla de una mano"
type1hBlunt,"Garrote de una mano"
type1hKnives,"Cuchillo de una mano"
type2hAxes,"Hacha de una mano"
type2hMelee,"Cuerpo a cuerpo a dos manos"
type4x4,"Coche | Vehículo"
typeadvBuilding,"Avanzado"
typeAmmo,"Munición"
typeAmmoWeapons,"Munición/Arma"
typeAmmunition,"Munición"
typeApparel,"Vestuario"
typeArmor,"Armadura"
typeAutomotive,"Automoción"
typeBasics,"Básico"
typeBatons,"Bastón"
typeBeams,"Viga"
typeBicycles,"Bicicleta | Vehículo"
typeBladeLong,"Hoja larga"
typeBladeShort,"Hoja corta"
typeBlunt,"Blunt"
typeBluntLong,"Long Blunt"
typeBluntShort,"Short Blunt"
typeBlocks,"Bloque"
typeBooks,"Libro"
typeBows,"Arco"
typeBuilding,"Edificio"
typeBundles,"Paquete de objetos"
typeCandy,"Caramelo"
typeCannedFood,"Alimentos enlatados"
typeCars,"Coche | Vehículo"
typeCatwalks,"Pasarela"
typeCFChemicals,"Química"
typeCFDrinkCooking,"Bebida"
typeCFFoodCooking,"Alimentos"
typeChemicals,"Química"
typeChemicalComposite,"Compuesto químico"
typeClothing,"Prendas de vestir"
typeClubs,"Club"
typeCollectors,"Recolector de recursos"
typeConsumables,"Consumibles"
typeConstructionTools,"Herramienta de construcción"
typeCookingTools,"Herramienta de cocina"
typeCorpses,"Cadáveres"
typeCraftingMisc,"Artesanía/Varios"
typeCrops,"Cultivo agrícola"
typeCrossbows,"Ballesta"
typeCutting,"Tala | Minería"
typeDebris,"Escombros"
typeDecorMiscellaneous,"Varios"
typeDecor,"Decoración"
typeDecorative,"Decorativo"
typeDigging,"Excavación"
typeDiggingTools,"Herramienta de excavación"
typeDoors,"Puerta"
typeDrinks,"Bebida"
typeDrugs,"Fármaco"
typeDyeMods,"Tinte cosmético"
typeElectrical,"Eléctrico"
typeElectricalTools,"Herramienta de cableado eléctrico"
typeEmpty,"Almacenamiento vacío"
typeExplosives,"Explosivo"
typeFirearms,"Arma de fuego"
typeFistWeapons,"Arma de puño"
typeFood,"Alimentos"
typeFoodCooking,"Alimentación/Cocina"
typeFurniture,"Mobiliario/Decoración"
typeGrenades,"Granada"
typeGun,"Arma"
typeGuns,"Armas"
typeGyroCopters,"GyroCóptero | Vehículo"
typeHandTools,"Herramienta de mano"
typeHealth,"Salud"
typeHeavyArmor,"Armadura pesada"
typeHelicopters,"Helicóptero | Vehículo"
typeItem,"Objeto"
typeJunk,"Basura"
typeKnives,"Cuchillo"
typeLandMines,"Mina terrestre | Edificio"
typeLaunchers,"Lanzacohetes"
typeLightArmor,"Armadura ligera"
