Key,german
statVehicleCargoOverloaded,"Fahrzeuglager überladen"
statVehicleLightIntensity,"Lichtintensität"
xuiActiveEffects,"Aktive Effekte"
xuiAllies,"Verbündete"
xuiBuyPrice,"$"
xuiCreative,"Kreativ"
xuiCharacter,"Charakter"
xuiCrafting,"Handwerk"
xuiCurrentLife,"Lebendig"
xuiCosmetics,"Kosmetik"
xuiDeaths,"Tode"
xuiFood,"Lebensmittel"
xuiFeelsLike,"Gefühlt"
xuiGameStage,"Spiel\nStadium"
xuiGenCity,"Städte"
xuiGenRural,"Ländliche Gemeinden"
xuiInventory,"Inventar"
xuiItemsCrafted,"herg. Gegenstände"
xuiJournal,"Tagebuch"
xuiLongestLife,"Längstes Leben"
xuiLevel,"Stufe"
xuiMap,"Karte"
xuiModifiers,"Modifikatoren"
xuiNoSellPrice," "
xuiObjectives,"Ziele"
xuiOptionsDynamicMesh,"Dynamische Meshes"
xuiOptionsVideoDistanceCustom,"Benutzerdefiniert"
xuiParty,"Gruppe"
xuiPing,"Ping"
xuiPlayerKills,"Spieler-Tötungen"
xuiPlayers,"Spieler"
xuiPlayerShow,"anzeigen"
xuiPointsAvailable,"[decea3]"
xuiPrefabEditor,"Vorfertigungs-Editor"
xuiQuests,"Aufträge"
xuiRewards,"Belohnungen"
xuiRewardsNotAvailable,"Belohnungen nicht verfügbar."
xuiRwgCountyName,"Welt Name"
xuiRwgPreviewer,"Welt Generator"
xuiRwgWorldSeed,"Seed"
xuiSellPrice,"$"
xuiSharedWaypoints,"Geteilt"
xuiSign,"Text ändern"
xuiSkillBuy,"Aktivieren"
xuiSkillNerfedEffect,"[FF6A00]Die Fertigkeit erfüllt eine oder mehrere Anforderungen nicht[-]"
xuiSkills,"Fertigkeiten"
xuiSkillList,"Fertigkeiten"
xuiSteamID,"Steam ID"
xuiVehicleStorage,"Fahrzeuglager"
xuiVoice,"Stimme"
xuiWater,"Wasser"
xuiWaypoints,"Wegpunkte"
xuiWorldEditor,"Welt Editor"
xuiWPskills,"Fertigkeiten"
xuiXPToNextLevel,"Exp bis LvL-Up"
xuiZombieKills,"Zombie Kills"
inpActSkillsName,"Fertigkeiten"
inpActSkillsDesc,"Fertigkeiten öffnen"
xuiSnow,"Schnee"
xuiDesert,"Wüste"
xuiPineForest,"Wald"
xuiWasteland,"Ödland"
quest_clear_response,"Säubern bei [DECEA3]{poi.name}[-] ([DECEA3]{poi.distance} {poi.direction}[-])"
quest_fetch_response,"Abholen bei [DECEA3]{poi.name}[-] ([DECEA3]{poi.distance} {poi.direction}[-])"
quest_fetch_clear_response,"Abholen/Säubern bei [DECEA3]{poi.name}[-] ([DECEA3]{poi.distance} {poi.direction}[-])"
quest_restore_power_response,"Stromversorgung wiederherstellen bei [DECEA3]{poi.name}[-] ([DECEA3]{poi.distance} {poi.direction}[-])"
uiLoadStartingGame,"Bitte warten...\nVorräte plündern"
uiLoadLoadingXml,"Bitte warten...\nSuchen nach Überlebenden"
uiLoadCreatingWorld,"Bitte warten...\nUntote abwehren"
uiLoadCreatingPlayer,"Bitte warten...\nRäuber abwehren"
msgBuildingEnvironment,"Bitte warten...\nSchutz suchen"
msgGeneratingDistantTerrain,"Bitte warten...\nFerngläser suchen"
msgStartingGame,"Bitte warten...\nErz schmelzen"
uiLoadWaitingForServer,"Bitte warten...\nVorbereitung auf die Horde"
waitingForServer,"Bitte warten...\nNach Nahrung suchen"
questBlockActivate,"[73E9B2][{{0}}][-] Aktiviere {1}"
questRallyActivate,"[73E9B2][{{0}}][-] Beginne Auftrag\n[decea3] ({1} )[-]"
itemTooltipFocusedOne,"[73E9B2][{0}][-] Nimm {1}"
itemTooltipFocusedSeveral,"[73E9B2][{0}][-] Nimm {1} ({2})"
forgeActivate,"[73E9B2][{0}][-] Öffne Schmiede"
useCampfire,"[73E9B2][{0}][-] Benutze"
useForge,"[73E9B2][{0}][-] Benutze"
useSecureDoor,"[73E9B2][{0}][-] Benutze"
useDoor,"[73E9B2][{0}][-] Benutze"
useOpen,"[73E9B2][{0}][-] Öffne"
useClose,"[73E9B2][{0}][-] Schließe"
useWorkstation,"[73E9B2][{0}][-] Benutze"
lootAccess,"[73E9B2][{0}][-] Zugriff auf {1}"
lootEntity,"[73E9B2][{0}][-] Durchsuche {1}"
lootTooltipEmpty,"[73E9B2][{0}][-] Öffne {1}\n[808080](Leer)[-]"
lootTooltipNew,"[73E9B2][{0}][-] Durchsuche {1}\n[73E9B2](Unberührt)[-]"
lootTooltipTouched,"[73E9B2][{0}][-] Öffne {1}"
lootVehicleEmpty,"[73E9B2][{0}][-] Öffne {1}{2}\n[808080](Leer)[-]"
lootVehicleNew,"[73E9B2][{0}][-] Durchsuche {1}{2}\n[73E9B2](Unberührt)[-]"
lootVehicleTouched,"[73E9B2][{0}][-] Öffne {1}{2}"
lootVehicleSecureJammed,"[73E9B2][{0}][-] Benutze {1}{2}\n[808080](Verklemmt)[-]"
lootVehicleSecureLocked,"[73E9B2][{0}][-] Benutze {1}{2}\n[808080](Gesperrt)[-]"
lootVehicleSecureUnlocked,"[73E9B2][{0}][-] Benutze {1}{2}\n[808080](Entsperrt)[-]"
tooltipJammed,"[73E9B2][{0}][-] Benutze {1}\n[808080](Verklemmt)[-]"
tooltipLocked,"[73E9B2][{0}][-] Benutze {1}\n[808080](Gesperrt)[-]"
tooltipUnlocked,"[73E9B2][{0}][-] Benutze {1}\n[808080](Entsperrt)[-]"
useBlock,"[73E9B2][{0}][-] Benutze {1}"
editLabel,"[73E9B2][{0}][-] Ändere Text"
useElevator,"[73E9B2][{0}][-] Fahre in [808080](Etage {1})[-]"
lootItem,"[73E9B2][{0}][-] Nimm {1} auf"
tooltipInteract,"[73E9B2][{0}][-] Benutze {1}"
vendingMachineActivate,"[73E9B2][{0}][-] Benutze {1}"
useSwitchLightOff,"[73E9B2][{0}][-] Ausschalten"
useSwitchLightOn,"[73E9B2][{0}][-] Einschalten"
npcTooltipTalk,"[73E9B2][{0}][-] Mit {1} sprechen"
pickupCrops,"[73E9B2][{{0}}][-] Ernte {0} {1}"
pickupPrompt,"[73E9B2][{{0}}][-] Nimm {0} auf"
xuiVendingWithOwner,"Verkaufsautomat\n[808080]({0})[-]"
xuiLockAmmo,"Einschalten"
xuiUnlockAmmo,"Ausschalten"
activeBlockPrompt,"{0}\n[73E9B2](Aktiv)[-]"
inactiveBlockPrompt,"{0}\n[808080](Inaktiv)[-]"
uiOpenJammed,"[73E9B2][{0}][-] Öffne {1}\n[808080](Verklemmt)[-]"
uiOpenLocked,"[73E9B2][{0}][-] Öffne {1}\n[808080](Gesperrt)[-]"
uiOpenUnlocked,"[73E9B2][{0}][-] Öffne {1}\n[808080](Entsperrt)[-]"
blockcommand_aim,"Zielen"
blockcommand_confirm,"Platzierung bestätigen"
blockcommand_do_nothing,"Nichts tun"
blockcommand_fuel_add,"In Behälter füllen"
blockcommand_fuel_take,"Aus Behälter entnehmen"
blockcommand_recharge,"Aufladen"
blockcommand_refuel,"Auftanken"
blockcommand_repair,"Reparieren"
blockcommand_pick1,"Schlossknacken\n[808080](Dietrich)[-]"
blockcommand_pick2,"Schlossknacken\n[808080](Haarnadel)[-]"
blockcommand_useC4,"Zeitgesteuerte Ladung verwenden"
blockcommand_upgrade,"Aufwerten"
blockcommand_broadcast_on,"Übertrage Lager"
blockcommand_broadcast_off,"Übertragung Ausschalten"
blockcommand_turn_on,"Einschalten"
blockcommand_turn_off,"Ausschalten"
uiNull,""
uiActionFillFrom,"[73E9B2][{0}][-] Auffüllen {1}"
uiActionFillTo,"[73E9B2][{0}][-] Hinzufügen {1}"
uiActionTake,"[73E9B2][{0}][-] Nimm {1}"
uiActionUse,"[73E9B2][{0}][-] Benutze {1}"
uiActionUntouched,"\n[73E9B2](Unberührt)[-]"
uiActionSkillLevelUp,"Deine Fertigkeit [decea3]{0}[-] ist auf Stufe [decea3]{1}[-] gestiegen!"
uiAll,"Alle"
uiAllResearch,"Alle Forschungen"
uiAmmo,"Munition"
uiAmmoAndExplosives,"Munition/Sprengstoffe"
uiAmmunition,"Munition"
uiArmor,"Rüstung"
uiAttention,"Achtung"
uiBackpack,"Rucksack"
uiBasicCrafting,"Herstellen"
uiBiomeName,"Biom Name"
uiBloodMoon,"Blutmond"
uiBlockAndMaterialName,"{1} / {0}"
uiBlockMissing,"Fehlender Block"
uiBlockName,"{0}"
uiBooksSchematics,"Bücher und Schemata"
uiBroadcasting,"Übertragung"
uiBroadcastRange,"Übertragungsreichweite"
uiBroadcastStorage,"Übertrage Lager für Herstellung"
uiBuffs,"Buffs"
uiCantPickUpFuelNotEmpty,"Brennstoffslots nicht leer!"
uiCantPickUpInputNotEmpty,"Eingabe nicht leer!"
uiCantPickUpOutputNotEmpty,"Ausgabe nicht leer!"
uiCantPickUpQueueNotEmpty,"Warteschlange nicht leer!"
uiCantPickUpToolsNotEmpty,"Werkzeug-Plätze nicht leer!"
uiCatchTarget,"[73E9B2][{0}][-] Fange {1}"
uiChickenCoopFeed,"[73E9B2][{0}][-] Füttere {1}"
uiClothing,"Kleidung"
uiClothingAndArmor,"Kleidung und Rüstung"
uiClothingArmorMods,"Kleidung/Rüstung Mods"
uiColorPickerHex,"Farbe (Hex)"
uiColorPickerRGB,"Farbe (RGB)"
uiConfirmPlacement,"[73E9B2][{{0}}][-] Platzierung bestätigen"
uiContainer,"Behälter"
uiCopy,"Kopiere"
uiCopyIDToClipboard,"Kopiere ID in Zwischenablage"
uiCrafted,"Hergestellt"
uiCraftedIn,"Hergestellt in "
uiCraftingFuel,"Treibstoff"
uiCraftingInput,"Eingabe"
uiCraftingOutput,"Ausgabe"
uiCraftingQueue,"Warteschlange"
uiCraftingQueueAndOutput,"Warteschlange/Ausgabe"
uiCraftingTools,"Werkzeuge"
uiCraftOutput,"Ausgabe"
uiCrouching,"Schleichen"
uiDebugBiome,"Biom"
uiDebugBlock,"Block"

uiDebugPrefab,"Vorfertigung"
uiDebugRegion,"Region"
							  
uiDescription,"Beschreibung"
uiDetails,"Details"
uiDifficulty,"Schwierigkeitsgrad"
ui_door_prefix," ("
ui_door_suffix,")"
ui_door_bottom,"Untere Tür"
ui_door_left,"Linke Tür"
ui_door_middle,"Mittlere Tür"
ui_door_right,"Rechte Tür"
ui_door_top,"Obere Tür"
ui_drawer_bottom,"Untere Schublade"
ui_drawer_left,"Linke Schublade"
ui_drawer_left_bottom,"Linke untere Schublade"
ui_drawer_left_middle,"Linke mittlere Schublade"
ui_drawer_left_top,"Linke obere Schublade"
ui_drawer_middle,"Mittlere Schublade"
ui_drawer_right,"Rechte Schublade"
ui_drawer_right_bottom,"Rechte untere Schublade"
ui_drawer_right_middle,"Rechte mittlere Schublade"
ui_drawer_right_top,"Rechte obere Schublade"
ui_drawer_top,"Obere Schublade"
ui_drawer_top_middle,"Obere mittlere Schublade"
uiExplosives,"Sprengstoffe"
uiExplosivesAndMines,"Sprengstoffe und Minen"
uiFeatureInProgress,"Work in progress, Funktion in Entwicklung.\n Funktioniert noch nicht, oder nur teilweise."
uiFoodAndDrinks,"Essen und Trinken"
uiGameContinue,"Spiel fortsetzen"
uiGameNew,"Neues Spiel"
uiGameSettingsBasic,"Grundlegend"
uiGameSettingsAdvanced,"Fortgeschritten"
uiGameSettingsExpert,"Experte"
uiGameSettingsMultiplayer,"Multiplayer"
uiGrowing,"Wachsen "
uiHeaderCrafting,"Handwerk"
uiHeaderCharacter,"Charakter"
uiHeaderMap,"Karte"
uiHeaderSkills,"Fortschritt"
uiHeaderQuests,"Aufträge"
uiHeaderJournal,"Tagebuch"
uiHeaderPlayers,"Spieler"
uiHeaderCreative,"Kreativ"
uiIngredientHave,", Besitz: "
uiIngredientInclModded,"inkl. Modifikation"
uiIngredientNeed,"\nBedarf: "
uiIngredientRetrieve,"\nWiederverwertbar: "
uiInspectLockSlot,"Inventarplatz (ent-) sperren"
uiInspectStackSingle,"1x Gegenstand ablegen"
uiInspectStackSplit,"Halten und ziehen = halber Stapel"
uiInspectStackSwap,"Stapel ablegen oder tauschen"
uiInspectStackTake,"Halten und ziehen = Stapel nehmen"
uiInspectStackView,"Gegenstand auswählen"
uiInsufficientStationLevel,"Unzureichende Stufe"
uiInteractWithBlock,"Interagiere mit {0}"
uiInventory,"Inventar"
uiItemNotFound,"Fehlender Gegenstand [73E9B2]{0}[-]"
uiItemRequired,"Erfordert {0}"
uiLevelShort,"LVL"
uiLightRecharge,"[73E9B2][{0}][-] Aufladen {1}"
uiLightToggle,"[73E9B2][{0}][-] Umschalten {1}"
uiLockAutoPick,"Auto-Schlossknacken"
uiLockAutoPickChance,"Auto-Schlossknacken-Chance: [decea3]{0}%[-]"
uiLockVeryEasy,"Sehr leicht"
uiLockEasy,"Leicht"
uiLockAverage,"Durchschnittlich"
uiLockHard,"Schwer"
uiLockVeryHard,"Sehr schwer"
uiLockExtremelyHard,"Extrem schwer"
uiLockImpossible,"Unmöglich"
uiLockpickingInsufficient,"Schlossknacken [FF1919]{0}[-] nicht hoch genug für dieses Schloss [decea3]{1}[-]."
uiLockpickingSkillLevel,"Schlossknacken"
uiLockpickingLockLevel,"Schloss"
uiLockpicksLeft,"[decea3]{0} {1}[-] übrig"
uiLockpicksLeftNone,"Du hast keine [decea3]{0}[-] in deinem Inventar."
uiLockpicksTooltipKB,"Nutze [73E9B2][{0}][-] oder [73E9B2][{1}][-] oder halte [73E9B2][{2}][-] gedrückt und ziehe den [73E9B2][Mauszeiger][-], um [decea3]{3}[-] zu bewegen. Versuche das [73E9B2][{4}][-] zu öffnen."
uiLockpicksTooltipGP,"Verwende die Tasten [73E9B2][{0}][-] oder [73E9B2][{1}][-], um die [decea3]{2}[-] zu bewegen. Versuche dann mit [73E9B2][{3}][-] zu entsperren."
uiMapBedroll,"Schlafsack"
uiMapCursor,"Zeiger"
uiMapInfo,"Info"
uiMapPlayer,"Standort"
uiMapWaypoint,"Wegpunkt"
uiMapWaypoints,"Wegpunkte"
uiMapWaypointsPersonal,"Eigene"
uiMapWaypointsShared,"Geteilt"
uiMaterial,"Material"
uiMax,"Max"
uiMenuSupport,"Spenden und Soziales"
uiMiscellaneous,"Sonstiges"
uiMissingIngredients,"[decea3]Fehlende Zutaten[-]"
uiMissingScrapWires,"Du hast keinen [decea3]Drahtschrott[-] in deinem Inventar"
uiMissingTool,"Fehlendes Werkzeug"
uiMissingKnowledge,"Fehlendes Wissen"
uiMods,"Mods"
uiMovementSpeed,"Geschwindigkeit"
uiMovementState,"Bewegungszustand"
uiNearbyStorage,"Lager in Reichweite"
uiNoPower,"Keine Energie"
uiNoSellPrice,"Kein Verkaufspreis"
uiNoUpgradesForBlock,"Block kann nicht aufgewertet werden"
uiPatchNotes,"Neuigkeiten und aktuelle Patchnotizen"
uiOr,"oder"
uiPerkPoints,"Verfügbare Punkte"
uiPinIngredients,"Zutaten anheften"
uiPlantNeedsMoreLight,"\n[FF6A00]Kein Wachstum, benötigt mehr Licht[-]"
uiPlayerEffects,"Effekte"
uiPlayerPreview,"Charaktervorschau"
uiPlayerHidePreview,"Charaktervorschau ausblenden"
uiPlayerStats,"Status"
uiPlayerStatsCore,"Hauptwerte"
uiPlayerStatsMore,"Mehr Details"
uiPlayerStatsLess,"Weniger Details"
uiPlayerStatsAdvanced,"Erweiterte Details"
uiPowerOutput,"Leistung"
uiPowerRemainingFuel,"Verbleibend"
uiPowerUsed,"Verwendet"
uiPrefabName,"Verfertigungs-Name"
uiPricePrefix,"$"
uiPrimaryMaterial,"Primäres Material"
uiQuality,"Qualität"
uiQuality1,"F E H L E R H A F T"
uiQuality2,"G E W Ö H N L I C H"
uiQuality3,"U N G E W Ö H N L I C H"
uiQuality4,"S E L T E N"
uiQuality5,"E P I S C H"
uiQuality6,"L E G E N D Ä R"
uiQualityPrefix1,"FEHLERHAFT"
uiQualityPrefix2,"GEWÖHNLICH"
uiQualityPrefix3,"UNGEWÖHNLICH"
uiQualityPrefix4,"SELTEN"
uiQualityPrefix5,"EPISCH"
uiQualityPrefix6,"LEGENDÄR"
uiQuestsShared,"Geteilt"
uiRadiation,"Strahlung"
uiRandomSpawner,"[decea3][{0} Zufälliger Spawner][-]"
uiRayHitBlockName,"Block Name"
uiRayHitTileEntity,"Tile Entity"
uiRecyclable,"Wiederverwertbar"
uiRefreshServerList,"Aktualisieren"
uiRegionFile,"Regionen-Datei"
uiRepair,"Reparatur"
uiRepairable,"Reparierbar"
uiRepairCost,"Reparaturkosten"
uiRepairItem,"Repariert mit"
uiRequirements,"Erfordernisse"
uiRequires,"Erfordert"
uiRequiredMaterials,"Erforderliche Materialien"
uiRequiredTool,"Erforderliches Werkzeug"
uiResistance,"Widerstand"
uiResistances,"Widerstände"
uiRestrictedArea,"Eingeschränkter Bereich"
uiRetrievableComponents,"Wiedergewinnbare Komponenten"
uiRunning,"Rennen"
uiScrapped,"Verschrottet"
uiScrappedIn,"Verschrottet in "
uiScrapMaterial,"Verschrottetes Material"
uiSearch,"Suche"
uiServerFilters,"Filter"
uiServers,"Server"
uiServiceInfo,"Service Info"
uiSettings,"Einstellungen"
uiShowOnMap,"Auf Karte anzeigen"
uiSignEdit,"Text bearbeiten"
ui_skill_buy,"Stufenaufstieg"
ui_skill_cost,"Kosten Stufenaufstieg"
ui_skill_exp,"Erfahrung der Fertigkeit"
ui_skill_level,"Aktuelle Stufe"
ui_skill_points,"Fertigkeits-Punkte"
uiSkillPoint,"Fertigkeits-Punkt"
uiSkillPoints,"Fertigkeits-Punkte"
ui_skill_points_available,"Verfügbare Fertigkeits-Punkte"
uiSkillPointsName,"Fertigkeits-Punkte"
uiSkillBuy,"Stufenaufstieg"
uiSkillPointShort,"PT"
uiSkillPointsShort,"PTs"
uiSortName,"Nach Namen sortieren (ASC)"
uiSortGroup,"Nach Typ sortieren (ASC)"
uiSortPrice,"Sortieren nach Preis (DESC)"
uiSortWeight,"Sortieren nach Gewicht (DESC)"
uiSPCostNext,"Nächste Stufe: "
uiSpeedKMH," km/h"
uiSpeedMPH," mph"
uiStats,"Status"
uiStorage,"Lager"
uiStorageCompartment,"Bereich"
uiStorageCompartments,"Bereiche"
uiTabPersonal,"Persönlich"
uiTabShared,"Geteilt"
uiTeleportEW,"X (O/W)"
uiTeleportNS,"Z (N/S)"
uiTimeDay,"{0} Tag"
uiTimeDays,"{0} Tage"
uiTimeHour,"{0} Stunde"
uiTimeHours,"{0} Stunden"
uiTimeMinute,"{0} Minute"
uiTimeMinutes,"{0} Minuten"
uiTimeSecond,"{0} Sekunde"
uiTimeSeconds,"{0} Sekunden"
uiTimedProcessLaying,"\n[decea3]Eierlegend ({1}, {0}%)[-]"
uiTimedProcessGathering,"\n[decea3]Sammeln ({1}, {0}%)[-]"
uiTimedProcessGrowing,"\n[decea3]Wachsen ({1}, {0}%)[-]"
uiTimedProcessMining,"\n[decea3]Abbau ({1}, {0}%)[-]"
uiTimedProcessSwarming,"\n[decea3]Ausschwärmen ({1}, {0}%)[-]"
uiToggleSearch,"Suche umschalten"
uiTotal,"Insgesamt: {0}"
uiTraps,"Fallen"
uiTransferAll,"Alle Gegenstände transferieren"
uiTransferAllToBag,"Alle Gegenstände nehmen"
uiTransferStackables,"Alle stapelbaren Gegenstände transferieren"
uiTransferStackablesToBag,"Alle stapelbaren Gegenstände nehmen"
uiTurnOn,"Einschalten"
uiTurnOff,"Ausschalten"
uiType,"Typ"
uiUpgrade,"Aufwerten"
uiUpgradeChance,"Aufwertungs-Chance"
uiUpgradeCost,"Aufwertungs-Kosten"
uiUpgradeFail,"[FF1919]Aufwertung fehlgeschlagen[-]"
uiUpgradeMax,"Keine weiteren Aufwertungen möglich"
uiUpgradeSuccess,"[73E9B2]Aufwertung erfolgreich[-]"
uiUpgradeRemoveMods,"[decea3]Aufwertung mit installierten Mods nicht möglich[-]"
uiUpgradeRequiresRepairs,"[decea3]Gegenstand muss erst repariert werden[-]"
uiUnderwater,"Unterwasser"
uiUnlockedBy,"Freigeschaltet durch"
uiUnknownIngredient,"Unbekannte Zutat"
uiUnlearned,"Nicht erlernt"
uiUnpinPinnedRecipe,"Angeheftetes Rezept entfernen"
uiValue,"Wert"
uiVehicleCargo,"Lagerkapazität"
uiVehicleSeats,"Sitze"
uiVehicleSlots,"Lagerplätze"
uiVehicleConsumption,"Verbrauch"
uiVehicleFuelEfficiency,"Treibstoff-Effizienz"
uiVehicles,"Fahrzeuge"
uiVehicleSpeed,"Geschwindigkeit"
uiVehicleSpeedTurbo,"Turbo-Geschwindigkeit"
uiVehicleTank,"Treibstofftank"
uiVersionNewAvailable,"Update verfügbar"
uiWalking,"Laufen"
uiWeaponsMelee,"Nahkampfwaffen"
uiWeaponsMeleeAndTools,"Nahkampfwaffen und Werkzeuge"
uiWeaponsRanged,"Fernkampfwaffen"
uiWeight,"Gewicht"
uiWorkstationNotEmpty,"Arbeitsstation ist nicht leer"
uiServerVersionMissmatch,"Undead Legacy Client-Version stimmt nicht mit Server-Version überein"
uiServerVersionUnknown,"[ff0000]Unbekannt[-]"
statAccuracy,"Genauigkeit"
statAlcohol,"Alkohol"
statAlcoholMax,"Max. Alkohol"
statArmorRating,"Rüstungswert"
statAttackSpeed,"Angriffsgeschwindigkeit"
statAttacksPerMinute,"Nahkampf-Angriffsgeschwindigkeit"
statBlockDamage,"Block-Schaden"
statBlocksLight,"Blockt Licht"
statCarbs,"Kohlenhydrate"
statCarbsMax,"Max. Kohlenhydrate"
statCondition,"Zustand"
statCoreTemp,"Körpertemperatur"
statCraftingTier,"Handwerks-Stufe"
statCraftingTime,"Herstellungsdauer"
statCraftingSpeed,"Geschwindigkeit"
statCurrentLife,"Lebendig"
statDamage,"Schaden"
statDeaths,"Tode"
statDismemberChance,"Chance auf Verstümmelung"
statDurability,"Ausdauer"
statDurabilityMax,"Max. Haltbarkeit"
statDurabilityUse,"Multiplikator Haltbarkeitsverlust"
statEfficiency,"Wirkungsgrad"
statTravelled,"Gereist"
statDysenteryChance,"Dysenterie-Risiko"
statEncumbered,"Überladen"
statEncumbrance,"Belastbarkeit"
statEncumbranceBonus,"Zusätzliches Belastbarkeit"
statExpRate,"XP Bonus"
statExpToNextLevel,"XP bis Stufenaufstieg"
statFat,"Fett"
statFatMax,"Max. Fett"
statFireRate,"Feuerrate"
statFood,"Nahrung"
statFoodMax,"Max. Nahrung"
statFoodRate,"Nahrungsverbrauch"
statFuel,"Brennstoff"
statGas,"Gas"
statHandling,"Handhabung"
statHealing,"Heilung"
statHealth,"Gesundheit"
statHealthMax,"Max. Gesundheit"
statHealthRegen,"Gesundheits-Reg."
statItemsCrafted,"Hergestellte Gegenstände"
statJumpStrength,"Sprunghöhe"
statKilledPlayers,"Getötete Spieler"
statKilledZombies,"Getötete Zombies"
statLoad,"Last (Statik)"
statLockpicking,"Schlossknacken"
statLongestLife,"Rekord"
statLootStage,"Beutestufe"
statMagazineSize,"Magazin"
statMobility,"Beweglichkeit"
statModificationSlots,"Max. Mods"
statPoisonChance,"Risiko Lebensmittelvergiftung"
statPoisonCure,"Heile Vergiftung"
statPower,"Energie"
statPowerAttack,"Kräftiger Angriff"
statPowerEfficiency,"Energie-Effizienz"
statProtein,"Eiweiß"
statProteinMax,"Max. Eiweiß"
statRange,"Reichweite"
statRecoil,"Rückstoß"
statReloadSpeed,"Nachladegeschwindigkeit"
statPistolReloadSpeed,"Pistolen-Nachladegeschwindigkeit"
statResistBleeding,"Bluten-Widerstand"
statResistCold,"Kälte-Widerstand"
statResistDiseases,"Krankheits-Widerstand"
statResistFallDamage,"Fallschaden-Reduktion"
statResistHeat,"Hitze-Widerstand"
statResistPhysical,"Physischer-Widerstand"
statResistPoison,"Gift-Widerstand"
statResistRadiation,"Strahlungs-Widerstand"
statResistStun,"Betäubungs-Widerstand"
statResistToxic,"Gift-Widerstand"
statRoundsPerMinute,"Angriffsgeschwindigkeit Fernkampf"
statStamina,"Ausdauer"
statStaminaMax,"Max. Ausdauer"
statStaminaRegen,"Ausdauer-Reg."
statStopsBleeding,"Heilt Blutungen"
statStopsLaceration,"Heilt Wunden"
statStopsBrokenLimbs,"Heilt gebrochene Gliedmaßen"
statTreasureRadius,"Schatz-Radius"
statVitamins,"Vitamine"
statVitaminsMax,"Max. Vitamine"
statWater,"Wasser"
statWaterMax,"Max. Wasser"
statWaterRate,"Wasserverbrauch"
statWeight,"Gewicht"
statWeightMax,"Belastbarkeit"
statWellness,"Wohlbefinden"
statWellnessMax,"Max. Wohlbefinden"
statWellnessRate,"Wohlbefinden-Rate"
tt_belongs_to_other_player,"Dies gehört einer anderen Person"
tt_empty_before_pickup,"Es muss leer sein, bevor du es aufnehmen kannst."
tt_container_is_full,"Er ist voll, du kannst nichts mehr hinzufügen."
tt_not_enough_substance,"Nicht genug, um diesen Gegenstand aufzufüllen."
tt_no_compatible_items,"Ich habe nichts Kompatibles in der Hand, um damit zu interagieren."
